Order Date,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
08-11-2016,CG-12520,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0,41.9136
08-11-2016,CG-12520,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,731.94,3,0,219.582
11-10-2015,SO-20335,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031
09-06-2014,BH-11710,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0,14.1694
09-06-2014,BH-11710,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092
16-07-2017,SF-20065,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196
25-09-2015,EB-13870,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,1044.63,3,0,240.2649
17-09-2015,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
17-09-2015,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525
08-12-2016,GH-14485,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963
27-12-2015,SN-20710,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764
27-12-2015,SN-20710,Home Office,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147
18-04-2015,DP-13000,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,6.16,2,0,2.9568
18-04-2015,DP-13000,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,89.99,1,0,17.0981
17-06-2016,TB-21055,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,7.098
24-11-2015,KM-16720,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,79.76,4,0,22.3328
30-04-2015,PS-18970,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,213.115,5,0.3,-15.2225
26-04-2015,JE-15745,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,831.936,8,0.2,-114.3912
26-04-2015,JE-15745,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,97.04,2,0.2,1.213
09-12-2017,KB-16600,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,9.708,3,0.6,-5.8248
26-11-2014,JE-15745,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,19.3,5,0.6,-14.475
28-05-2017,PO-18865,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,301.96,2,0,33.2156
31-01-2015,KB-16315,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,53.34,3,0,16.5354
09-11-2017,PN-18775,Home Office,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,96.53,7,0,40.5426
13-11-2015,LC-16870,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,102.36,3,0.2,-3.8385
25-12-2017,CV-12805,Corporate,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,41.96,2,0,10.9096
02-03-2015,DK-13090,Consumer,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,787.53,3,0,165.3813
12-06-2016,SC-20725,Consumer,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,47.04,3,0,18.3456
26-12-2014,AD-10180,Home Office,Houston,Texas,Central,FUR-CH-10004063,Furniture,Chairs,600.558,3,0.3,-8.5794
20-09-2014,PF-19165,Consumer,Bloomington,Illinois,Central,FUR-TA-10004534,Furniture,Tables,617.7,6,0.5,-407.682
06-11-2016,LS-16975,Home Office,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,81.424,2,0.2,-9.1602
06-11-2016,LS-16975,Home Office,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,238.56,3,0,26.2416
13-10-2016,LC-16885,Consumer,Roseville,California,West,FUR-FU-10001706,Furniture,Furnishings,43.12,14,0,20.6976
05-09-2016,JD-15895,Corporate,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,82.8,2,0.2,10.35
22-10-2014,MG-17680,Home Office,Newark,Ohio,East,FUR-FU-10000521,Furniture,Furnishings,93.888,4,0.2,12.9096
05-12-2016,JE-16165,Corporate,Franklin,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,1951.84,8,0,585.552
01-03-2014,DB-13060,Consumer,Seattle,Washington,West,FUR-CH-10004063,Furniture,Chairs,457.568,2,0.2,51.4764
08-09-2014,BM-11140,Consumer,San Antonio,Texas,Central,FUR-CH-10004287,Furniture,Chairs,1740.06,9,0.3,-24.858
05-08-2014,CS-12130,Consumer,Los Angeles,California,West,FUR-CH-10003817,Furniture,Chairs,340.144,7,0.2,21.259
21-11-2015,JE-15745,Consumer,Newark,Ohio,East,FUR-CH-10004698,Furniture,Chairs,396.802,7,0.3,-11.3372
12-10-2015,MP-17470,Home Office,New York City,New York,East,FUR-BO-10002613,Furniture,Bookcases,899.136,4,0.2,112.392
12-10-2015,MP-17470,Home Office,New York City,New York,East,FUR-BO-10002545,Furniture,Bookcases,626.352,3,0.2,46.9764
03-08-2014,BS-11755,Consumer,Denver,Colorado,West,FUR-TA-10004289,Furniture,Tables,218.75,2,0.5,-161.875
03-06-2017,HK-14890,Corporate,Franklin,Tennessee,South,FUR-FU-10002960,Furniture,Furnishings,35.168,7,0.2,9.6712
02-01-2015,VW-21775,Corporate,Medina,Ohio,East,FUR-BO-10004695,Furniture,Bookcases,452.45,5,0.5,-244.323
24-12-2015,JB-15925,Consumer,Dublin,Ohio,East,FUR-FU-10000087,Furniture,Furnishings,72.704,4,0.2,19.0848
09-08-2015,DS-13180,Corporate,Detroit,Michigan,Central,FUR-TA-10003748,Furniture,Tables,622.45,5,0,136.939
28-02-2015,VD-21670,Consumer,Columbia,Tennessee,South,FUR-CH-10004860,Furniture,Chairs,161.568,2,0.2,-28.2744
28-02-2015,VD-21670,Consumer,Columbia,Tennessee,South,FUR-CH-10004477,Furniture,Chairs,389.696,8,0.2,43.8408
07-04-2017,CS-12400,Home Office,Tampa,Florida,South,FUR-TA-10001705,Furniture,Tables,233.86,2,0.45,-102.048
07-04-2017,CS-12400,Home Office,Tampa,Florida,South,FUR-TA-10003473,Furniture,Tables,620.6145,3,0.45,-248.2458
07-04-2017,CS-12400,Home Office,Tampa,Florida,South,FUR-FU-10004017,Furniture,Furnishings,258.072,3,0.2,0
04-06-2016,KL-16645,Consumer,Chicago,Illinois,Central,FUR-FU-10000576,Furniture,Furnishings,419.68,5,0.6,-356.728
04-06-2016,KL-16645,Consumer,Chicago,Illinois,Central,FUR-FU-10004351,Furniture,Furnishings,11.688,3,0.6,-4.6752
04-06-2016,KL-16645,Consumer,Chicago,Illinois,Central,FUR-TA-10002607,Furniture,Tables,177.225,5,0.5,-120.513
04-06-2016,KL-16645,Consumer,Chicago,Illinois,Central,FUR-FU-10002505,Furniture,Furnishings,4.044,3,0.6,-2.8308
01-06-2014,DW-13480,Home Office,Lakeville,Minnesota,Central,FUR-CH-10004063,Furniture,Chairs,2001.86,7,0,580.5394
10-12-2016,LH-17155,Consumer,San Francisco,California,West,FUR-CH-10002965,Furniture,Chairs,321.568,2,0.2,28.1372
28-11-2015,DR-12880,Corporate,Chicago,Illinois,Central,FUR-FU-10002505,Furniture,Furnishings,12.132,9,0.6,-8.4924
30-07-2015,HA-14920,Consumer,San Francisco,California,West,FUR-FU-10003274,Furniture,Furnishings,5.28,3,0,2.3232
02-11-2015,JO-15280,Consumer,Los Angeles,California,West,FUR-TA-10002903,Furniture,Tables,1038.84,5,0.2,51.942
20-11-2016,NZ-18565,Home Office,Columbus,Ohio,East,FUR-BO-10004709,Furniture,Bookcases,86.97,3,0.5,-48.7032
26-12-2014,KL-16555,Corporate,Colorado Springs,Colorado,West,FUR-FU-10004091,Furniture,Furnishings,300.416,8,0.2,78.8592
26-12-2014,KL-16555,Corporate,Colorado Springs,Colorado,West,FUR-CH-10001891,Furniture,Chairs,230.352,3,0.2,20.1558
26-12-2014,KL-16555,Corporate,Colorado Springs,Colorado,West,FUR-FU-10002918,Furniture,Furnishings,218.352,3,0.2,-24.5646
28-10-2016,JD-15895,Corporate,Belleville,New Jersey,East,FUR-FU-10001861,Furniture,Furnishings,77.6,4,0,38.024
19-11-2017,JH-15910,Consumer,Chicago,Illinois,Central,FUR-TA-10002533,Furniture,Tables,219.075,3,0.5,-131.445
04-05-2015,AS-10225,Corporate,New York City,New York,East,FUR-FU-10002671,Furniture,Furnishings,26.8,2,0,12.864
12-09-2016,BP-11185,Corporate,Arvada,Colorado,West,FUR-FU-10001918,Furniture,Furnishings,15.136,4,0.2,3.5948
12-09-2016,BP-11185,Corporate,Arvada,Colorado,West,FUR-CH-10004086,Furniture,Chairs,466.768,2,0.2,52.5114
12-09-2016,BP-11185,Corporate,Arvada,Colorado,West,FUR-FU-10001756,Furniture,Furnishings,15.232,1,0.2,1.7136
27-09-2014,TS-21205,Corporate,Hackensack,New Jersey,East,FUR-FU-10001588,Furniture,Furnishings,87.54,3,0,37.6422
04-11-2014,NM-18445,Home Office,New York City,New York,East,FUR-CH-10002602,Furniture,Chairs,135.882,1,0.1,24.1568
03-11-2017,DJ-13510,Corporate,Murfreesboro,Tennessee,South,FUR-FU-10001967,Furniture,Furnishings,15.992,1,0.2,0.9995
30-08-2016,PO-18850,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10003312,Furniture,Chairs,786.744,4,0.3,-258.5016
12-07-2014,AC-10420,Corporate,San Francisco,California,West,FUR-TA-10004575,Furniture,Tables,698.352,3,0.2,-17.4588
08-04-2016,JL-15505,Consumer,New York City,New York,East,FUR-BO-10002268,Furniture,Bookcases,388.704,6,0.2,-4.8588
25-09-2017,KW-16435,Consumer,New York City,New York,East,FUR-CH-10000785,Furniture,Chairs,488.646,3,0.1,86.8704
25-09-2017,KW-16435,Consumer,New York City,New York,East,FUR-FU-10000023,Furniture,Furnishings,47.12,8,0,20.7328
21-10-2016,MK-17905,Corporate,Manchester,Connecticut,East,FUR-BO-10002545,Furniture,Bookcases,1043.92,4,0,271.4192
27-08-2017,AR-10405,Corporate,Franklin,Massachusetts,East,FUR-TA-10004915,Furniture,Tables,1488.424,7,0.3,-297.6848
