Order Date,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
12-06-2016,DV-13045,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0,6.8714
11-10-2015,SO-20335,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164
09-06-2014,BH-11710,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,7.28,4,0,1.9656
09-06-2014,BH-11710,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825
09-06-2014,BH-11710,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0,34.47
15-04-2017,AA-10480,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432
05-12-2016,IM-15070,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922
22-11-2015,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858
22-11-2015,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816
11-11-2014,PK-19075,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0,13.3176
13-05-2014,AG-10270,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0,9.99
27-08-2014,ZD-21925,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0,2.4824
27-08-2014,ZD-21925,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384
09-12-2016,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,19.46,7,0,5.0596
09-12-2016,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0,15.6884
