Order Date,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
09-06-2014,BH-11710,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152
09-06-2014,BH-11710,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568
27-08-2014,ZD-21925,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011
16-01-2016,EH-13945,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,90.57,3,0,11.7741
08-12-2016,GH-14485,Corporate,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737
27-12-2015,SN-20710,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564
10-09-2017,LC-16930,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564
11-03-2016,ON-18715,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,45.98,2,0,19.7714
20-06-2016,LH-16900,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,45,3,0,4.95
20-06-2016,LH-16900,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,21.8,2,0,6.104
11-12-2016,JM-15265,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,1029.95,5,0,298.6855
17-06-2016,TB-21055,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,30,2,0,3.3
24-11-2015,KM-16720,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,13.98,2,0,6.1512
05-12-2014,BS-11590,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,167.968,4,0.2,62.988
26-10-2017,PG-18895,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,19.99,1,0,6.7966
17-09-2016,JS-15685,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,8.2782
29-08-2016,RB-19465,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,95.976,3,0.2,-10.7973
13-11-2015,LC-16870,Consumer,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,238.896,6,0.2,-26.8758
23-11-2017,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016
23-11-2017,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.0994
15-10-2015,PA-19060,Home Office,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,339.96,5,0.2,67.992
12-06-2016,SC-20725,Consumer,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,68.04,7,0,19.7316
02-02-2017,DW-13585,Corporate,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,59.97,5,0.4,-11.994
05-12-2016,JE-16165,Corporate,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,384.45,11,0,103.8015
05-12-2016,JE-16165,Corporate,Franklin,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,149.97,3,0,5.9988
13-03-2016,TW-21025,Home Office,Scottsdale,Arizona,West,TEC-PH-10001254,Technology,Phones,203.184,2,0.2,15.2388
20-11-2016,NP-18670,Consumer,Edmond,Oklahoma,Central,TEC-PH-10004536,Technology,Phones,944.93,7,0,236.2325
28-12-2015,EM-13960,Consumer,Philadelphia,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,54.384,2,0.2,1.3596
08-09-2014,BM-11140,Consumer,San Antonio,Texas,Central,TEC-MA-10000822,Technology,Machines,8159.952,8,0.4,-1359.992
08-09-2014,BM-11140,Consumer,San Antonio,Texas,Central,TEC-PH-10003931,Technology,Phones,143.976,3,0.2,8.9985
05-12-2014,DK-13150,Corporate,Decatur,Illinois,Central,TEC-AC-10004659,Technology,Accessories,408.744,7,0.2,76.6395
19-11-2014,RM-19675,Home Office,Monroe,Louisiana,South,TEC-PH-10003273,Technology,Phones,503.96,4,0,131.0296
19-11-2014,RM-19675,Home Office,Monroe,Louisiana,South,TEC-PH-10004896,Technology,Phones,149.95,5,0,41.986
19-11-2014,RM-19675,Home Office,Monroe,Louisiana,South,TEC-AC-10002345,Technology,Accessories,29,2,0,7.25
26-08-2014,FM-14290,Home Office,Los Angeles,California,West,TEC-AC-10002323,Technology,Accessories,176.8,8,0,22.984
12-10-2015,MP-17470,Home Office,New York City,New York,East,TEC-PH-10001552,Technology,Phones,71.76,6,0,20.0928
09-12-2017,LE-16810,Consumer,Whittier,California,West,TEC-PH-10001918,Technology,Phones,444.768,4,0.2,44.4768
01-12-2017,JH-15985,Consumer,Saginaw,Michigan,Central,TEC-PH-10001700,Technology,Phones,131.98,2,0,35.6346
09-02-2015,MS-17980,Corporate,Dallas,Texas,Central,TEC-AC-10001266,Technology,Accessories,20.8,2,0.2,6.5
02-01-2015,VW-21775,Corporate,Medina,Ohio,East,TEC-PH-10002844,Technology,Phones,62.982,3,0.4,-14.6958
02-01-2015,VW-21775,Corporate,Medina,Ohio,East,TEC-MA-10000864,Technology,Machines,1188,9,0.7,-950.4
02-01-2015,VW-21775,Corporate,Medina,Ohio,East,TEC-AC-10000109,Technology,Accessories,89.584,2,0.2,4.4792
28-10-2016,JH-15910,Consumer,Los Angeles,California,West,TEC-PH-10002563,Technology,Phones,302.376,3,0.2,22.6782
24-12-2015,JB-15925,Consumer,Dublin,Ohio,East,TEC-MA-10001148,Technology,Machines,479.988,4,0.7,-383.9904
07-04-2017,CS-12400,Home Office,Tampa,Florida,South,TEC-AC-10003832,Technology,Accessories,617.976,3,0.2,-7.7247
04-06-2016,KL-16645,Consumer,Chicago,Illinois,Central,TEC-PH-10000011,Technology,Phones,31.984,2,0.2,11.1944
11-09-2016,KC-16540,Consumer,San Diego,California,West,TEC-AC-10003832,Technology,Accessories,3347.37,13,0,636.0003
28-11-2015,DR-12880,Corporate,Chicago,Illinois,Central,TEC-PH-10001580,Technology,Phones,647.904,6,0.2,56.6916
01-12-2017,CC-12670,Consumer,New York City,New York,East,TEC-AC-10000290,Technology,Accessories,20.37,3,0,6.9258
19-09-2014,SB-20290,Corporate,Houston,Texas,Central,TEC-MA-10000822,Technology,Machines,3059.982,3,0.4,-509.997
19-09-2014,SB-20290,Corporate,Houston,Texas,Central,TEC-MA-10003353,Technology,Machines,2519.958,7,0.4,-251.9958
06-06-2016,RC-19825,Consumer,Chicago,Illinois,Central,TEC-PH-10001433,Technology,Phones,328.224,4,0.2,28.7196
10-11-2015,AH-10210,Consumer,Brentwood,California,West,TEC-AC-10004469,Technology,Accessories,79.9,2,0,35.156
30-07-2015,HA-14920,Consumer,San Francisco,California,West,TEC-AC-10003628,Technology,Accessories,209.93,7,0,92.3692
26-09-2015,SC-20725,Consumer,Houston,Texas,Central,TEC-PH-10001760,Technology,Phones,1114.4,7,0.2,376.11
26-09-2015,TB-21520,Consumer,Portland,Oregon,West,TEC-AC-10001956,Technology,Accessories,239.8,5,0.2,47.96
20-11-2016,NZ-18565,Home Office,Columbus,Ohio,East,TEC-AC-10002001,Technology,Accessories,255.984,2,0.2,54.3966
09-08-2014,AG-10525,Corporate,Saint Petersburg,Florida,South,TEC-PH-10002398,Technology,Phones,178.384,2,0.2,22.298
04-11-2014,NM-18445,Home Office,New York City,New York,East,TEC-MA-10002927,Technology,Machines,3991.98,2,0,1995.99
04-11-2014,NM-18445,Home Office,New York City,New York,East,TEC-PH-10004093,Technology,Phones,275.94,6,0,80.0226
04-11-2014,NM-18445,Home Office,New York City,New York,East,TEC-AC-10000892,Technology,Accessories,360,4,0,129.6
23-04-2016,GK-14620,Corporate,Hesperia,California,West,TEC-AC-10001908,Technology,Accessories,99.99,1,0,34.9965
30-08-2016,PO-18850,Consumer,Philadelphia,Pennsylvania,East,TEC-PH-10003645,Technology,Phones,290.898,3,0.4,-67.8762
